archetype_name,archetype_value,mean_inflation,std_inflation,min_inflation,max_inflation,recent_inflation,cluster
employment_status,all_retired,7.973025415746396,11.525666687115551,-1.7054026650244474,34.513486175394114,8.233807935465611,0
employment_status,all_working,7.3175379093058,8.897548123175225,0.5465078169430692,27.693819661570156,8.215207246968209,2
employment_status,has_unemployed,7.217069874277821,9.503085844085357,-1.2990373762754122,28.269655165367197,7.795558860150131,3
employment_status,mixed,7.322188176391028,9.067570279835564,0.25838611557112934,27.806905055852425,8.425269699782769,2
hh_composition,couple_with_children,7.1687136480829885,8.752147519854002,0.3337645762346344,26.946064511147057,8.215628421570338,2
hh_composition,no_children,7.660723104069398,10.187838052200823,-0.4218984817261585,31.105965625897877,8.190094325014998,3
hh_composition,single_parent,7.290854721199526,9.13179703101434,-0.2413628679940826,27.922833328413684,8.916868855494275,2
hh_composition,unknown,5.049250978408486,,5.049250978408486,5.049250978408486,5.049250978408486,1
hrp_age_band,30_to_49,7.235679946771738,8.833637996218085,0.3935380258031207,27.253876585472554,8.32955618067311,2
hrp_age_band,50_to_64,7.525853933889773,9.618919906894284,-0.06148359664180025,29.541660976216775,8.112678323078258,3
hrp_age_band,65_to_74,7.768906557242864,10.506726380551948,-0.7094562555674746,31.83309299287486,8.322719924914924,0
hrp_age_band,75_plus,8.10835881017875,12.488722275653126,-3.038964975603625,37.0164605509878,7.8478580103027324,0
hrp_age_band,under_30,7.328942504828733,8.747986506593833,0.6930606083242308,27.59687211924997,8.718253137176518,2
is_carer,False,7.525120202683214,9.792150037752524,-0.08618875052107611,29.975587272653218,8.209306821940816,3
is_carer,True,7.583100787960835,9.949196689991803,-0.31845735368009775,29.699178837480215,9.071287740075272,2
is_disability,False,7.490112833270246,9.690885318257141,-0.023661777970222897,29.722482514256,8.163889408264671,3
is_disability,True,7.7672486988274425,10.534996378941258,-0.43383017117254746,31.68858791633997,8.711019491219327,0
is_pensioner,False,7.3501633394375965,9.104164002976121,0.34520135075971614,28.126220348538197,8.276443439881403,2
is_pensioner,True,7.8983496765746946,11.279132600920171,-1.600018029583215,33.85613629040539,8.150252697603781,0
region_broad,London,7.396569257379132,9.623156887471989,-0.049365133997629984,29.31392427666825,8.30140342815036,2
region_broad,Midlands,7.519413217481361,9.638973043599172,0.03785181972840293,29.45979345007242,8.382397164578904,2
region_broad,North,7.607693313017439,9.948244378732047,3.0811576139627705e-05,30.44881184706371,8.341163773875302,3
region_broad,Northern Ireland,7.480134216348939,9.474864556762327,0.1827225376551746,28.923000568677075,8.596761601952604,2
region_broad,Scotland,7.543093548020216,10.038245603251108,-0.8998033793626389,30.32556831337987,8.056015013198008,3
region_broad,South (excluding London),7.502033639820867,9.711034865559977,-0.027605810396104657,29.851529398229687,8.106846965954112,3
region_broad,Wales,7.622950148623859,10.284638175076322,-0.4161757117116045,31.531859019377563,7.963346981674005,3
tenure_type,own_mortgage,7.8438663729275095,11.048442826747157,-1.7655424928899017,33.316355617499504,7.812519107295821,0
tenure_type,own_outright,7.505662826494937,9.581755710815889,-0.4660906073996255,29.50767401549679,7.723579205343391,3
tenure_type,private_rent,6.949521976102131,7.544845081954047,0.8757240044146285,23.745754019044945,9.625562440460829,4
tenure_type,rent_free,7.468705538481158,10.351699279880318,-2.2002143436789448,30.904545560498256,7.427082050557381,3
tenure_type,social_rent,7.5002699719541335,10.076828633695905,-0.30449027505475135,30.28905392967269,8.646691922575279,2
